,train,val,test
36,TCGA-UY-A78N,TCGA-C4-A0F0,TCGA-CU-A5W6
37,TCGA-4Z-AA81,TCGA-XF-AAML,TCGA-E5-A4U1
38,TCGA-GV-A3JW,TCGA-DK-A3IM,TCGA-DK-A2I6
39,TCGA-ZF-A9RE,TCGA-GC-A3BM,TCGA-CF-A1HS
40,TCGA-DK-A3IN,TCGA-5N-A9KM,TCGA-GU-A764
41,TCGA-XF-A8HH,TCGA-ZF-AA4R,TCGA-ZF-A9R2
42,TCGA-DK-A3X1,TCGA-CU-A3YL,TCGA-G2-A2EL
43,TCGA-BT-A20W,TCGA-UY-A78L,TCGA-XF-A9SL
44,TCGA-G2-A2EF,TCGA-DK-A3IS,TCGA-BT-A20O
45,TCGA-UY-A78P,TCGA-GV-A6ZA,TCGA-FD-A3B8
46,TCGA-E7-A6ME,TCGA-DK-A1AE,TCGA-GC-A3OO
47,TCGA-E7-A3Y1,TCGA-ZF-AA4V,TCGA-FD-A6TB
48,TCGA-ZF-AA5P,TCGA-DK-A2I4,TCGA-GC-A4ZW
49,TCGA-CF-A9FF,TCGA-2F-A9KT,TCGA-FD-A3B3
50,TCGA-DK-A3IU,TCGA-GD-A3OS,TCGA-DK-A3WW
51,TCGA-DK-A3IL,TCGA-H4-A2HO,TCGA-4Z-AA80
52,TCGA-C4-A0F6,TCGA-XF-A8HG,TCGA-CU-A0YO
53,TCGA-4Z-AA7O,TCGA-BT-A3PH,TCGA-UY-A8OB
54,TCGA-FD-A3SL,TCGA-SY-A9G0,TCGA-XF-AAMQ
55,TCGA-ZF-AA4N,TCGA-4Z-AA86,TCGA-UY-A9PF
56,TCGA-CF-A7I0,TCGA-CF-A3MG,TCGA-FD-A3SM
57,TCGA-DK-A1AF,TCGA-FD-A3B4,TCGA-DK-A3IK
58,TCGA-GU-AATO,TCGA-DK-A1AA,TCGA-BT-A0S7
59,TCGA-GV-A3JZ,TCGA-XF-AAMX,TCGA-DK-A2HX
60,TCGA-XF-AAN3,,TCGA-XF-AAMR
61,TCGA-K4-A54R,,TCGA-DK-A1A7
62,TCGA-BT-A20R,,TCGA-XF-AAN1
63,TCGA-FD-A6TK,,TCGA-GD-A6C6
64,TCGA-BT-A42C,,TCGA-UY-A78K
65,TCGA-FD-A3SR,,TCGA-UY-A9PH
66,TCGA-FD-A3SO,,TCGA-XF-A8HI
67,TCGA-XF-A9T2,,TCGA-UY-A9PA
68,TCGA-G2-AA3C,,TCGA-GV-A3JV
69,TCGA-ZF-A9R5,,TCGA-E7-A678
70,TCGA-5N-A9KI,,TCGA-G2-A3IE
71,TCGA-GV-A3QI,,TCGA-DK-A6B2
72,TCGA-4Z-AA87,,TCGA-FJ-A3ZE
73,TCGA-FJ-A871,,TCGA-FD-A5BV
74,TCGA-BT-A3PK,,TCGA-CF-A3MI
75,TCGA-GV-A40G,,
76,TCGA-GV-A40E,,
77,TCGA-K4-AAQO,,
78,TCGA-XF-AAMT,,
79,TCGA-K4-A3WS,,
80,TCGA-XF-AAMZ,,
81,TCGA-FD-A6TG,,
82,TCGA-FD-A43X,,
83,TCGA-FD-A6TF,,
84,TCGA-4Z-AA7W,,
85,TCGA-ZF-AA4W,,
86,TCGA-CU-A0YN,,
87,TCGA-4Z-AA7S,,
88,TCGA-E5-A4TZ,,
89,TCGA-FD-A3B5,,
90,TCGA-HQ-A5NE,,
91,TCGA-XF-A8HC,,
92,TCGA-HQ-A2OE,,
93,TCGA-GC-A3RC,,
94,TCGA-ZF-A9R0,,
95,TCGA-DK-A1AG,,
96,TCGA-XF-A9T3,,
97,TCGA-GU-AATQ,,
98,TCGA-CF-A3MF,,
99,TCGA-ZF-AA5N,,
100,TCGA-XF-A9SH,,
101,TCGA-GU-A42P,,
102,TCGA-ZF-A9RC,,
103,TCGA-FD-A43N,,
104,TCGA-GU-A763,,
105,TCGA-GC-A3RB,,
106,TCGA-H4-A2HQ,,
107,TCGA-GU-A766,,
108,TCGA-DK-A1A3,,
109,TCGA-FJ-A3ZF,,
110,TCGA-4Z-AA7Y,,
111,TCGA-ZF-A9RN,,
112,TCGA-K4-A83P,,
113,TCGA-FT-A3EE,,
114,TCGA-XF-A9T4,,
115,TCGA-DK-A3WX,,
116,TCGA-HQ-A2OF,,
117,TCGA-FD-A5C0,,
118,TCGA-FD-A6TC,,
119,TCGA-XF-A9T5,,
120,TCGA-XF-A8HF,,
121,TCGA-CF-A3MH,,
122,TCGA-CF-A5U8,,
123,TCGA-XF-AAN7,,
124,TCGA-G2-AA3B,,
125,TCGA-BT-A20J,,
126,TCGA-FD-A62O,,
127,TCGA-BL-A13J,,
128,TCGA-FD-A6TH,,
129,TCGA-G2-AA3F,,
130,TCGA-E7-A6MF,,
131,TCGA-XF-A9SV,,
132,TCGA-GD-A3OQ,,
133,TCGA-K4-A6MB,,
134,TCGA-GC-A3YS,,
135,TCGA-DK-A6B5,,
136,TCGA-BT-A20T,,
137,TCGA-XF-AAN0,,
138,TCGA-BT-A2LD,,
139,TCGA-UY-A78O,,
140,TCGA-DK-A2I2,,
141,TCGA-FD-A5BX,,
142,TCGA-ZF-AA52,,
143,TCGA-DK-A3IT,,
144,TCGA-E7-A8O7,,
145,TCGA-XF-A9SY,,
146,TCGA-E7-A7DU,,
147,TCGA-K4-A5RH,,
148,TCGA-ZF-A9RM,,
149,TCGA-CF-A1HR,,
150,TCGA-XF-AAMH,,
151,TCGA-FD-A5BZ,,
152,TCGA-GV-A3QF,,
153,TCGA-XF-AAN8,,
154,TCGA-CF-A47Y,,
155,TCGA-UY-A9PE,,
156,TCGA-2F-A9KO,,
157,TCGA-4Z-AA84,,
158,TCGA-S5-AA26,,
159,TCGA-ZF-AA53,,
160,TCGA-XF-A9T6,,
161,TCGA-CU-A0YR,,
162,TCGA-LT-A8JT,,
163,TCGA-FD-A43Y,,
164,TCGA-XF-A9SI,,
165,TCGA-XF-A9SP,,
166,TCGA-GU-A42R,,
167,TCGA-YC-A89H,,
168,TCGA-G2-A2EJ,,
169,TCGA-ZF-AA54,,
170,TCGA-GV-A3JX,,
171,TCGA-BT-A42F,,
172,TCGA-FD-A3B7,,
173,TCGA-FD-A3B6,,
174,TCGA-XF-A9SU,,
175,TCGA-DK-A3IV,,
176,TCGA-DK-A6AV,,
177,TCGA-CF-A47V,,
178,TCGA-GD-A3OP,,
179,TCGA-DK-A2I1,,
180,TCGA-BL-A5ZZ,,
181,TCGA-G2-A2EK,,
182,TCGA-ZF-A9R4,,
183,TCGA-BT-A20U,,
184,TCGA-XF-AAMY,,
185,TCGA-GU-A42Q,,
186,TCGA-BT-A20Q,,
187,TCGA-FD-A62N,,
188,TCGA-PQ-A6FI,,
189,TCGA-UY-A8OD,,
190,TCGA-XF-A9T8,,
191,TCGA-K4-A5RJ,,
192,TCGA-MV-A51V,,
193,TCGA-S5-A6DX,,
194,TCGA-DK-A3WY,,
195,TCGA-E7-A7DV,,
196,TCGA-E7-A97P,,
197,TCGA-FD-A6TD,,
198,TCGA-CF-A47X,,
199,TCGA-XF-AAMG,,
200,TCGA-XF-A8HB,,
201,TCGA-4Z-AA83,,
202,TCGA-XF-AAME,,
203,TCGA-ZF-A9R9,,
204,TCGA-CF-A47W,,
205,TCGA-4Z-AA7Q,,
206,TCGA-DK-A3X2,,
207,TCGA-E7-A6MD,,
208,TCGA-XF-A8HE,,
209,TCGA-ZF-A9R7,,
210,TCGA-HQ-A5ND,,
211,TCGA-LC-A66R,,
212,TCGA-G2-A2EO,,
213,TCGA-XF-A9SM,,
214,TCGA-FD-A3N6,,
215,TCGA-XF-AAN4,,
216,TCGA-CF-A47T,,
217,TCGA-GC-A3RD,,
218,TCGA-FD-A62P,,
219,TCGA-CF-A9FM,,
220,TCGA-GU-AATP,,
221,TCGA-GD-A2C5,,
222,TCGA-E7-A4IJ,,
223,TCGA-K4-A4AB,,
224,TCGA-BT-A0YX,,
225,TCGA-E7-A541,,
226,TCGA-DK-A3IQ,,
227,TCGA-DK-A6B0,,
228,TCGA-DK-A1AD,,
229,TCGA-BT-A42E,,
230,TCGA-2F-A9KW,,
231,TCGA-2F-A9KR,,
232,TCGA-GC-A3WC,,
233,TCGA-4Z-AA89,,
234,TCGA-DK-A1A5,,
235,TCGA-YC-A8S6,,
236,TCGA-DK-A6B6,,
237,TCGA-FJ-A3Z9,,
